name,url,unit,amount
Azuki #7507,https://lh3.googleusercontent.com/G6JeMoHDyX4pqoskDB1iwd1jkRI6ouve635EP3QDq3b7Q2OVwfzpJ0YnU9HQCNO6s2c7Gb0MyLenOfoc0Wk2_XK2WhUusLfD5NcA6Q=w191,WETH,24.8
Azuki #3851,https://lh3.googleusercontent.com/-glyMqIvUVIxpvEZ8HS8u9TgD4NFGHlLnxHiqIqhtRk3pims7vLu2MdPmTVt0lLx5omcIlAhoRTRJWVp84ACv35m1ZVuTdhmAP54=w191,WETH,0.069
Azuki #8689,https://lh3.googleusercontent.com/9LkGJHMl7IEOztL84-6h4VHbb2sMWpwCmXyb9aa3_b8qSTwoxpni_Rr3vMoKYJLHfrjgoVs770PfvJcEZplOaQoPyv_SYwjWt1Ud-g=w191,WETH,25.5
Azuki #6411,https://lh3.googleusercontent.com/tqz-yJ6O40i8qnlq5EGMZ2arLWXi3YubiSHuFZ5q2pUt7wyYp2gy9dWBPGhDMlUrs2V-EhH8qGFyOT1mRXrgw7CswhJji9pmJVXvEw=w191,WETH,25.9
Azuki #1704,https://lh3.googleusercontent.com/coEzP-b7o31A2_9hV8At9oPY-BTKBEcKXx1RnhHtpYICut1nrWai8Tq6fvpZcDZGmphZj3VWq64GLeKnuAER7ipfosnUtNtyEUglgGU=w191,WETH,26
Azuki #8662,https://lh3.googleusercontent.com/IEVO5dHmHanJpPz0yU2PDJ8PU5gXjQqNc0FZs-L0ZXFQcNva4bfEVh8_b_5UXSMlfoDX3vthecma33P1-skDk23hZnUS2pDyXke6ykw=w191,WETH,26
Azuki #8008,https://lh3.googleusercontent.com/8MLYCKTRwKM7XssYw9HbgdPp0rpSdFjC64E7Ty6YAzXpHIUMuGW_8pOIliCqIhLwsLFfsmIY_H2PklgMS_tkOU1gf4PwGaJGZCrpfw=w191,WETH,27
Azuki #1423,https://lh3.googleusercontent.com/4golkiRsFb2f1xpanIwb74OiucrgWPTkR3YfGIP2wrvxToQFCzI2nNojAB3kNRwr4k3wfsCa4bospj9Tcwgey8cEl6nQud1NKiScUA=w191,WETH,27
Azuki #4936,https://lh3.googleusercontent.com/eehvuEiURI8pj0RWdPgqDVCAzedLLmuKSqHzzz0JHFCjZrsvSy3Die41fkhu-QHKrDwwkpTNC3EwhTViW2ej_yrJo-Jko3IVSAHivA=w191,WETH,27
Azuki #1458,https://lh3.googleusercontent.com/IImhtRzdlEv2oHpCXxcm0h-fgyRNsDkI7NrbckOhcYbno7zBHmAV6I542xWxojIx4dJeP4tFB52jqpyYQBc0DIcypMzdUHVqmL3h0w=w191,WETH,27
Azuki #5416,https://lh3.googleusercontent.com/9tACyXIoB4HNbhZU3OLM5But4k6O3lFmgSPq2pL6Lhnx6FRgJTruuyJ8kiQJmRdH2Navxtlv-FoNAOUvIkMXtEdGDe41ovCxiOH8=w191,WETH,27
Azuki #335,https://lh3.googleusercontent.com/jRBal4IhpwsumdHC45FCZq3wRck6ApIK0d0ETYQPrvrHJL8K0DdhVaLTDe_adbWikSRo89JtBYv7yGgVCypkP7TAdVRjviq-15HeVjU=w191,WETH,27.4
Azuki #959,https://lh3.googleusercontent.com/vyuDdY0kCJ04DoRt1Re0H-2-WL0Deeh9-Uc7qvS20OUnWpmAlIReuA3V3siPuxKdbR7MBNb4ac-b0Dn6j75M0Po0Tg1Y6jWiP2VKgA=w191,WETH,27.48
Azuki #6618,https://lh3.googleusercontent.com/gcuf2yHdebTUObIBYXf9jqMtMcQnSskNQzdSu_ZBQkLRA5BETkhium0Uth7_b3heWoEcLAfi1gRHk_PsK797qzw1YYv2bmsLbwy-=w191,WETH,27.5
Azuki #7033,https://lh3.googleusercontent.com/oPRecBOCeD5lIMwgyQkbHTWu4auGuW8398Swx07w1EIQDoMyAlTNIBYTMy6RaWyGWviHeetMzJ_scIIcT71T_79B7r7sWR2d7X7Hhg=w191,WETH,27.69
Azuki #1069,https://lh3.googleusercontent.com/QGQKSWZTy8OSLbl19rJwCCXrGZYQn5uaV6CEKf-ATyJJ24zueycaE4OEH99NtukGjMu4IM83t4sRLY1BKtf-HtuxCRa73eHE5UX-3g=w191,WETH,27.69
Azuki #8270,https://lh3.googleusercontent.com/I6bbTA9Tv8NNAio8hnsfC0fzsVaZlSH_GnndioA4vSqtwHG3saNh5ZQha7SOUEz7umq0hFLQbCm8x4pkbvHcGZNZ2cAZY5crAj-gj_0=w191,WETH,27.9
Azuki #7462,https://lh3.googleusercontent.com/8Lx3P5-rrguhelUtc85VjPQI0f6KgwrhGgAH2l1Z6wEk3UeV6-96TiL9-sjT8HsSZjlfUa7DQGJvrH4eraNKprLxc324-wuY5GVg=w191,WETH,27.9
Azuki #4034,https://lh3.googleusercontent.com/p7J_9oklsBc6FxYqdmzG5wDr_mxklRGakFQNsZ5h_JmZwsCTYxjyKXZUj-jnNzRKTq3S7apMQKEme0khKiYf4ULJO-NcwQQ-oB4TAw=w191,WETH,27.99
Azuki #2121,https://lh3.googleusercontent.com/fzLrvy8-aYqbMlHqpc8446bJlY7LM-CvB4kexvLqxjD7iGQn5z5vu00NJE7tJf7ZS6VPIegWch92mXh8_8EnHjJKjLO2ULHilsq18Q=w191,WETH,28
Azuki #3774,https://lh3.googleusercontent.com/2x6jh78Tq3PUMV7vJeESWIgSHhygPn5BXLhN8-IA_Zy5KTXQBsSUlXMAVN0idlnim2dVWV-eWcekxNY-0ifTD8x4yH6u97sQjyGpTs0=w191,WETH,28
Azuki #5255,https://lh3.googleusercontent.com/kpTVnzM1phowB5O4yqiog3mRLJDewcOiQezriyt2dQ98w0swKID10HTwIIHAWNWzpTyA6SbRedbLBRup79SFFsxkZUuumv8tpsKmpA=w191,WETH,28.4
Azuki #7797,https://lh3.googleusercontent.com/q0sUd5fMtO7YLjy3jafyZ0u3JNi3YI4HjmIvMKdBKZh7Pwia7yE5IeNbDpPCgr5Z18nTySyEHM03gfPVIKz5lBKg3zAWHjSRz-Q3Fqc=w191,WETH,28.49
Azuki #7122,https://lh3.googleusercontent.com/k9YRnGzxGrrJW8HM3qIqfqga5wd3ZCKW7msQ8dDEYWt4jnTBnnzdJx_p-pmqd00aq805nHSLrk7fvhEeJDL5m78wmupQD7rT0i2i1g=w191,WETH,28.49
Azuki #9139,https://lh3.googleusercontent.com/vQhbxYdGbk9VTCxVVdjs1NHirSISPT2qNEm9feTm1t51FdiaL3xPvHXG_1eTdhL2-HKFFUw5cUWJbOX_byC02YJUJCyyM8thlmNhig=w191,WETH,28.5
Azuki #3984,https://lh3.googleusercontent.com/XLmvNkawvpUCysE8rOeiDEBVAs3u7PQQnQEdIQpYSqTA9TSCyTgPdIVRR__XPOsTvyc-xaT1mbERTH-ZByzm8oY3vHWwF-mqWjVd=w191,WETH,28.5
Azuki #3202,https://lh3.googleusercontent.com/1lyYMAFHRQws5CH0VAwp7eMIG-24GmyXJrapjCRaP9YaXmGIW7WVlhNO83Lv8UpUdK4Gdl0UI03K8ekKlALy844t5sUW3_wgboHKR-Y=w191,WETH,28.5
Azuki #4660,https://lh3.googleusercontent.com/DgdlCEsPd699x4AzrWgLAjdzjuWLT3_DNEj89ospoVxdd1IYv4uN5kQbcmTOh8k4GS9MqCCh2pdNAu569MyWmHNsqo_NgXydih57JyE=w191,WETH,28.5
Azuki #8761,https://lh3.googleusercontent.com/GBAGUSyHizUa9izs8xJnAxPZTB-z5AdPJoDmBFDA_y0__e76vlkaf-Zk0MrFlUNUbfg6DVzqwniI9AWbbt2rug2Xg3YYYUSehp_2=w191,WETH,28.5
Azuki #6373,https://lh3.googleusercontent.com/Y2HkeJ0LIXGRXiftsd3b5zZGGw26qn3Et2JPF1A6ZKAOdMDututkqeXLR3FsQ00PjHmBSUPBfYOSOAkj3mvhU8TGDEG9y0EgJCbRnw=w191,WETH,28.66
Azuki #4192,https://lh3.googleusercontent.com/gtWkS37V2Fc9anlat6Io-ZNNGy5rc_K3PQ-kri_C4RDKm-4gZvDx93NmVY74SsbXzjUPyts6V4WO6rgh8lzcf3WRpXi2Xd2Q_tmG3Q=w191,WETH,28.69
Azuki #8068,https://lh3.googleusercontent.com/gnbnThQOqu-aOfo547KhQ3WIjs19IeUA4Bdl_npHhlqvLL8izWmm9wxIWIESBscllh7p_hmoBwQv9ghB-gECgnTSD7zpiu9-Ywwcqq4=w191,WETH,28.7
Azuki #2320,https://lh3.googleusercontent.com/7zFBlZSAi8KHzntqu0Jjvrgu1l6-hvAypkijy57vvN5Pqtxvc4i-DDNJBjBdmU_vKXtnbG83qye4CYjQTHwuwx8qHJKlTbG2AzYI=w191,WETH,28.7888
Azuki #6423,https://lh3.googleusercontent.com/OrvPzqO9IjIrHmd62a7mvhSQBBfbUOz8XnRgsbArHtrYcaXtz8O27mx5fII5PxaV459G88lq1HMPWheFq7PA1LgeYfxBeibPleSowQ=w191,WETH,28.8
Azuki #3656,https://lh3.googleusercontent.com/QgcspR5FxmlUlGXu-5_Ww_D6vDb_rmbYv2FJ0W9WyC437tSCv9MswxYkIveaOdXFIsPq6FnBUWVwgrx2aEZ8wuPizPpjcWwJH1BqlQ=w191,WETH,28.88
Azuki #5276,https://lh3.googleusercontent.com/YZ282F7hkUQgNBVvm1EVjxBtIBVTnI5J1xW-8Fk7eGZmLHzMp5adMtsLBgPgL__V6LpqMA4ZR03jzk29YqhO9WOYxnp4k2Dc-8dZ=w191,WETH,28.88
Azuki #3132,https://lh3.googleusercontent.com/eYKhThVIjU_oKSW57ZM_kcxhsxHxv5BTsCYJF8RQ1ToICVQMMP1sk6Z9YTQGNxH_qTc6cDWI3VAD0bi_vnxYcZkcBckR7Yf--9qKfQ=w191,WETH,28.888
Azuki #9036,https://lh3.googleusercontent.com/KZu40sqerENCgDuxvOuBBtkKCLPU4pgCcF8v51AxQoh9O1cuGiW5mKUzOTMXkS2zjZClf7tCuLjbk3igaux2RxPoRS7cdjPtJs_d=w191,WETH,28.9
Azuki #6700,https://lh3.googleusercontent.com/2hIIg4SroCvqKXJDEmpBHPHrzw1u2NtL62iV3Pzv6HN_WEsktbUkAWFCvmla_tIFb2yDLm-KF22wMtBdNuVXEGy5nAC4dLiD5iPKbQ=w191,WETH,28.9
Azuki #2201,https://lh3.googleusercontent.com/Ak2Q9_C4VHEShcPjyDHM9Hd7L9AhEjHqTJFMb5xFd7c4wVLXgv3LFiwG7u8GLQ2BZPEqUDXlNLV6PnyxKDkWqWJz8oJ0at9HqibSdg=w191,WETH,28.98
Azuki #6467,https://lh3.googleusercontent.com/MzIBnjhLKVWEsKhuDG1DIwb2_1cGGN8iMQ1mJOw6lfivgcmYbD2vKndZQtvARRqtX-LLK4fGvNRrnMT9wQ-OoezVjWgpFBQFQkpu1g=w191,WETH,29
Azuki #3794,https://lh3.googleusercontent.com/Nkrwc4dYWB7CihaKwOwv156-qkN0jPhZwTwYcuQtfauMkGOj5rJxrNzJJSwmPxfYsq6HL1Zr15s8VjD-P_5qRig0tbDShVM6-6ir=w191,WETH,29
Azuki #6385,https://lh3.googleusercontent.com/nJiWlxky5BCfvtHxF8wzPwvw4Yv6tSYUp16AtJYxvkHk0u0C6Kw0Rsl1lR7vDT6TPz8araFU92GicKjCkqKREsF3uW7Fuhwwy_nmCg=w191,WETH,29
Azuki #685,https://lh3.googleusercontent.com/bkAWE8mXSIJxjwydULjKoaVfYkGEJoabmftfwkccicGHxzpO6WaeiwAKXBnOvnXCEXHDDcFYchUFD1W6CsjySbgmyJslVi9DkQoC=w191,WETH,29
Azuki #1462,https://lh3.googleusercontent.com/PgGcnKZ6yEh-wePajQBZtkB98mplxSQTtPngc6fDQf2oCtWB6BX9fYs4kyf8FT5KY4Gc-VYYzY-sckebbFLk6PMSUEhttDg467YSmQ=w191,WETH,29
Azuki #2116,https://lh3.googleusercontent.com/SFYqAFQLEV6Qcf5iOfoCsIrB2ei-OP0lDho9QQgVJZAz9g4bzIF_GRrmeMQfgf4iZK1vyVNgQ6n31GDSRFtm_5mrG7a5yDe9RUeadA=w191,WETH,29
Azuki #9390,https://lh3.googleusercontent.com/ajSxbdOtL8ywSTfRG-rNyJXfHVqABygDu5YiJ5I8_ee3fvoL2z-FcskG-eYbwU8DKvu5zhzY_CP6kATmBUkMnBXrp7h7KiOdOrF-=w191,ETH,29
Azuki #6645,https://lh3.googleusercontent.com/OkF2aF3n2y7F0awxy95IYwUoJqGsja6qMNaLbeSdWo39C4B9w3VaMLBqDwvwrJkcSgUT9dCAeLxejikNdHimUdlPBeQF9UV4cTQt47w=w191,ETH,29
Azuki #9800,https://lh3.googleusercontent.com/hvkg-UImS6heItluoYOP935ZW_eP5qx5NPmPoteWCUXPSipfhX2Ri52hBTYpyixJC1D9zvXS6sa37orp2AOUgNBM2upVQ3b0eVyZ=w191,ETH,29
Azuki #9552,https://lh3.googleusercontent.com/3p68bo0F2KM9q0oEyMGlRsT3np3tRo0KXD1s-LX7PIzpcyzKVQdUBkYuhO4QnqVZjqdocOVJMnH6rnGONsKavlnacZlSzJO2OryX=w191,ETH,29
Azuki #4150,https://lh3.googleusercontent.com/4Usb0m1Wq0Nw5Pvi_R1Q8TPrhPt0cytKZHjavtlFME7-iEdUWihziMyl_0GEuJKDo1Y5WadjFRiiB3IHZ-mVwxrBoWWbceO4WCme=w191,ETH,29
Azuki #3043,https://lh3.googleusercontent.com/DafEwayUK_ukVhCC-TcxiPrMjDddtnOjl3OZ63CRro--5aoJ3qrqPOgWgi2nZoh_XyD_vtBUd0fmS6VhqOn8ayRRZn-DBDd1hmcsgok=w191,ETH,29
Azuki #1570,https://lh3.googleusercontent.com/Csn7vgwHvQpjDfC8qzpcRFQDxeRZ5NMcxNiY-JOUC3UYIrOTzlcGYA5hJMs3bpOLmyTJ5ZwKQvL_3QmtzqTggXPh9-mHXDsmW1vMEQ=w191,ETH,29
Azuki #5088,https://lh3.googleusercontent.com/6DXFwLSNMIrS_OYtTtE7ocMiuYNlq0BG-PtbKkQ81SIkUsfueEDzy8TCUYOC75fk19s2xPf6Vz7DPfvZA9b9uD3XiUf8rWViKV7z=w191,ETH,29.25
Azuki #1102,https://lh3.googleusercontent.com/nvDfmXW5LGyS4nCP94LDzM7dfF--AixcFVrwbHkgLl0OlIgk3LROoizW7VOnrLwZ5N773PEuQlr2m76GHN0XB1sK4QzWVRf3qNPQ9tE=w191,ETH,29.5
Azuki #3219,https://lh3.googleusercontent.com/uPPorv6IkPosbOsBb5zvxjCY24_3DkZe58CgcruGWYKu3Tn9-Kz7sLkgs7OeMYf2jEonvvLcahsYN7FvNcIc-LdAM4OkOQadF5Br4A=w191,ETH,29.5
Azuki #3979,https://lh3.googleusercontent.com/Lrke6QwrKIYSYpr3iuwUkiTa413p4ZRWxilWUWGfYCCFOGLX9AHOwt5UjSV9bxDN0CLyE4y9s6sBtNd9SALqIaMqQOnIWWd7hhjfZA=w191,ETH,29.69
Azuki #7028,https://lh3.googleusercontent.com/6dii5U5MbfoKxbSia_aqbqtT1NQ15XmTt1RT5yCwK3rvy3zxkzPcO-eaUDLlPvfAb26Vc66m3IcZTh5TjjpvYLILoZUfVCy7uBWFIA=w191,ETH,29.88
Azuki #8735,https://lh3.googleusercontent.com/zPeE233c8s4W_eBJXt5bN2PHOlmJY1U4JZyiYyJjFAsTjCMbTrl-GFEQQm0CniNRE0bscnAz5TbuVBR_NHbloC2LhQNieDZ-VNoE=w191,ETH,29.88
Azuki #6688,https://lh3.googleusercontent.com/qqadTJbqDepSmXe_Aa-6cfeYoXQeUJJf7eFmeAtDtzxGZmkfOaj_l4LloHAPYNK2oYQ0r8MAoTXVUBYZAv6UXAYuTmjxtMLzyI1T=w191,ETH,29.99
Azuki #8485,https://lh3.googleusercontent.com/gLjo_FQ4c_vWwzZ__5ITHsTUERdW2YBotLN4ZEn_lruC2w8Fv8z1J_4HyrLR9uV03qJZ7_uSAFjn5t-0Outkq5LoMjaFgex5kZffTQ=w191,ETH,29.99
Azuki #616,https://lh3.googleusercontent.com/vkADh-HISfXM0RTb8Z0f1LkLZXDfWOAqoDPVq9M1YpTiW8CLwVAfVC2ygZv7SxlblNmZSgrEO4bYBNg3hw23Xpe9LNHGLtKKhnYafiw=w191,ETH,29.99
Azuki #8375,https://lh3.googleusercontent.com/4Pa-AxWG7KETEE3JTe8SFZtvk-hjcOpqs2fGjOI6vcvynE1heLnfnbKqh8-0FclPeKl90DNqJZNWH-oWnat2blxxSjlhane5RmQjGKM=w191,ETH,29.99
Azuki #6234,https://lh3.googleusercontent.com/ORDVkyd_tKh-fiJViMm-a_zyzWy0dkK2SURyt3gnKkqq_6VJvTi7gWWADF0GdgFauuoSRkmjr4VQWqg9NOdHtWEvi53mRSDF5iTrmg=w191,ETH,29.99
Azuki #8910,https://lh3.googleusercontent.com/OBb4QTYf28Qzw4se3HH6Nl7lZ4nZZZEZuQ5c7SoFysUZbOoYeR0_NLyCI4p6oDkBLzbtpfS1FSZtYkZmIcQLjsT2xObq9JKIVud3nQ=w191,ETH,30
Azuki #968,https://lh3.googleusercontent.com/0Kmw2h---PAf5cL4fKODV7YiJieTdp42N74aXAsJWSqYGBdJ48YX4Rlqjebv3kDoMzWGmU-nK7mKxvYLm5QYrGNbay8pc3iuYyuOuA=w191,ETH,30
Azuki #2048,https://lh3.googleusercontent.com/JbWPBMzm4nNR04JybPUnX_BOPIFKA7gqLMeEQexNpSXtsU7I4uzY0ri_Iii1-QgtbbgU0N-hz2pmJJ25Txg3ldoIIfsVTc5RfiP7Zqk=w191,ETH,30
Azuki #3742,https://lh3.googleusercontent.com/UvGvNt4QwmhM4r3H5sK2sag7R6HzdNpzmtOQ9GOjSSMfA7pucEuaUo0ioyfRffsfmGY7pfkE4MXaS2xQx5JZFXylXXd1YyNUXX0q=w191,ETH,30
Azuki #4201,https://lh3.googleusercontent.com/2qxnO-hs0PK9MwWGx1wRQC6FUrGjyqN1eBlRKQKuX1APOJDWfj-GaKh5hUlJLSAFIkCSKqjrPlRYOik7yP1pCXV1z81ySEC7kGswyPI=w191,ETH,30
Azuki #6628,https://lh3.googleusercontent.com/iNEOH4VSle6b-QZD756fVcXy68gxHfEcH17TWn1JmdqBuwWoTaWY1ClIc5t215iRhLEAXzbyRechY7Ljv-oVNHorGhDUhj7VwmVj=w191,ETH,30
